"sex","sport","test","n","panel_size","p_cohort","binding","joint_model"
"Female","Badminton","CMJ",37,3,1,"drop","—"
"Female","Football","CMJ",82,3,1,"drop","—"
"Male","Badminton","CMJ",85,3,3,"panel","Gaussian"
"Male","Basketball","CMJ",73,3,3,"panel","Vine"
"Male","Cricket","CMJ",46,3,3,"panel","Vine"
"Male","Football","CMJ",333,3,3,"panel","Vine"
"Male","Swimming","CMJ",27,3,2,"sample size","Vine"
"Male","Track and Field","CMJ",29,3,2,"sample size","Indep"
"Female","Badminton","DJ",33,3,3,"panel","Gaussian"
"Female","Football","DJ",71,3,3,"panel","Gaussian"
"Male","Badminton","DJ",25,3,2,"sample size","Indep"
"Male","Cricket","DJ",31,3,3,"panel","Vine"
"Male","Football","DJ",328,3,2,"reliability","Gaussian"
"Male","Football","SJ",188,3,1,"drop","—"
"Female","Football","SLJ",67,4,3,"reliability","Gaussian"
"Male","Football","SLJ",308,4,4,"panel","Vine"
"Male","Swimming","SLJ",26,4,2,"sample size","—"
"Female","Football","SLDJ",55,4,1,"drop","—"
"Male","Football","SLDJ",156,4,4,"panel","Vine"
"Female","Football","SLLAH",63,2,1,"drop","—"
"Male","Cricket","SLLAH",25,3,2,"sample size","—"
"Male","Football","SLLAH",225,3,0,"drop","—"
"Female","Badminton","SLHAR",30,4,3,"sample size","Gaussian"
"Female","Football","SLHAR",55,4,3,"sample size","Vine"
"Male","Football","SLHAR",166,4,4,"panel","Vine"
