"sex","sport","test","metric","n_pairs","ICC","SEM","MDC95"
"Female","Badminton","CMJ","JumpHeight",6,0.383,4.83,13.4
"Female","Badminton","CMJ","mRSI",6,0.273,9.43,26.1
"Female","Badminton","CMJ","EccMeanForce",6,0.977,5.99,16.6
"Female","Football","CMJ","JumpHeight",15,0.472,2.53,7.01
"Female","Football","CMJ","mRSI",15,0.246,6.67,18.5
"Female","Football","CMJ","EccMeanForce",15,0.823,21.1,58.5
"Male","Football","CMJ","JumpHeight",80,0.875,2.83,7.84
"Male","Football","CMJ","mRSI",80,0.51,7.61,21.1
"Male","Football","CMJ","EccMeanForce",80,0.974,11.7,32.4
"Male","Badminton","CMJ","JumpHeight",8,0.803,3.51,9.73
"Male","Badminton","CMJ","mRSI",8,0.632,7.43,20.6
"Male","Badminton","CMJ","EccMeanForce",8,0.962,11.5,31.9
"Male","Basketball","CMJ","JumpHeight",0,NA,NA,NA
"Male","Basketball","CMJ","mRSI",0,NA,NA,NA
"Male","Basketball","CMJ","EccMeanForce",0,NA,NA,NA
"Male","Cricket","CMJ","JumpHeight",6,0.818,3.31,9.16
"Male","Cricket","CMJ","mRSI",6,0.66,7.4,20.5
"Male","Cricket","CMJ","EccMeanForce",6,0.507,48.7,135
"Male","Swimming","CMJ","JumpHeight",0,NA,NA,NA
"Male","Swimming","CMJ","mRSI",0,NA,NA,NA
"Male","Swimming","CMJ","EccMeanForce",0,NA,NA,NA
"Male","Track and Field","CMJ","JumpHeight",0,NA,NA,NA
"Male","Track and Field","CMJ","mRSI",0,NA,NA,NA
"Male","Track and Field","CMJ","EccMeanForce",0,NA,NA,NA
"Female","Badminton","DJ","RSI_FTCT",0,NA,NA,NA
"Female","Badminton","DJ","ContactTime",0,NA,NA,NA
"Female","Badminton","DJ","JumpHeight",0,NA,NA,NA
"Female","Badminton","DJ","PeakLandF_BW",0,NA,NA,NA
"Female","Football","DJ","RSI_FTCT",17,0.81,0.182,0.503
"Female","Football","DJ","ContactTime",17,0.806,0.0477,0.132
"Female","Football","DJ","JumpHeight",17,0.838,2.41,6.67
"Female","Football","DJ","PeakLandF_BW",0,NA,NA,NA
"Male","Football","DJ","RSI_FTCT",84,0.527,0.37,1.03
"Male","Football","DJ","ContactTime",84,0.39,0.0964,0.267
"Male","Football","DJ","JumpHeight",84,0.828,3.57,9.9
"Male","Football","DJ","PeakLandF_BW",0,NA,NA,NA
"Male","Badminton","DJ","RSI_FTCT",6,0.82,0.22,0.609
"Male","Badminton","DJ","ContactTime",6,0.779,0.0699,0.194
"Male","Badminton","DJ","JumpHeight",6,0.628,4.5,12.5
"Male","Badminton","DJ","PeakLandF_BW",0,NA,NA,NA
"Male","Cricket","DJ","RSI_FTCT",0,NA,NA,NA
"Male","Cricket","DJ","ContactTime",0,NA,NA,NA
"Male","Cricket","DJ","JumpHeight",0,NA,NA,NA
"Male","Cricket","DJ","PeakLandF_BW",0,NA,NA,NA
"Male","Football","SJ","JumpHeight",43,0,1320,3650
"Male","Football","SJ","ConcMF_BM",43,0.268,0.976,2.71
"Male","Football","SJ","ForceAtPP",43,0.925,31.5,87.4
"Female","Football","SLJ","ConcImp_R",15,0.634,7.25,20.1
"Female","Football","SLJ","ConcImp_L",15,0.181,15.1,41.8
"Female","Football","SLJ","ConcMF_R",15,0.916,41.4,115
"Female","Football","SLJ","ConcMF_L",15,0.537,110,306
"Male","Football","SLJ","ConcImp_R",81,0.882,13.2,36.5
"Male","Football","SLJ","ConcImp_L",79,0.893,11.8,32.8
"Male","Football","SLJ","ConcMF_R",81,0.844,98,272
"Male","Football","SLJ","ConcMF_L",79,0.885,81.9,227
"Male","Swimming","SLJ","ConcImp_R",0,NA,NA,NA
"Male","Swimming","SLJ","ConcImp_L",0,NA,NA,NA
"Male","Swimming","SLJ","ConcMF_R",0,NA,NA,NA
"Male","Swimming","SLJ","ConcMF_L",0,NA,NA,NA
"Female","Football","SLDJ","ConcImp_R",15,0.0195,18.3,50.8
"Female","Football","SLDJ","ConcImp_L",15,0,16.8,46.7
"Female","Football","SLDJ","MeanLandPow_R",15,0.566,130,359
"Female","Football","SLDJ","MeanLandPow_L",15,0.35,132,366
"Male","Football","SLDJ","ConcImp_R",35,0.932,11.2,31.2
"Male","Football","SLDJ","ConcImp_L",35,0.945,10.3,28.5
"Male","Football","SLDJ","MeanLandPow_R",35,0.743,148,410
"Male","Football","SLDJ","MeanLandPow_L",35,0.706,166,460
"Female","Football","SLLAH","DropLand_R",14,0,104,287
"Female","Football","SLLAH","DropLand_L",14,0,106,293
"Female","Football","SLLAH","PeakDLF_R",14,0.594,272,754
"Male","Football","SLLAH","DropLand_R",45,0,108,298
"Male","Football","SLLAH","DropLand_L",45,0,119,329
"Male","Football","SLLAH","PeakDLF_R",45,0.494,442,1220
"Male","Cricket","SLLAH","DropLand_R",0,NA,NA,NA
"Male","Cricket","SLLAH","DropLand_L",0,NA,NA,NA
"Male","Cricket","SLLAH","PeakDLF_R",0,NA,NA,NA
"Female","Badminton","SLHAR","PeakTakeoffF_R",0,NA,NA,NA
"Female","Badminton","SLHAR","PeakTakeoffF_L",0,NA,NA,NA
"Female","Badminton","SLHAR","PeakLandF_R",0,NA,NA,NA
"Female","Badminton","SLHAR","PeakLandF_L",0,NA,NA,NA
"Female","Football","SLHAR","PeakTakeoffF_R",15,0.707,120,333
"Female","Football","SLHAR","PeakTakeoffF_L",15,0.669,126,349
"Female","Football","SLHAR","PeakLandF_R",15,0.776,177,491
"Female","Football","SLHAR","PeakLandF_L",15,0.694,196,544
"Male","Football","SLHAR","PeakTakeoffF_R",35,0.909,157,435
"Male","Football","SLHAR","PeakTakeoffF_L",35,0.903,154,428
"Male","Football","SLHAR","PeakLandF_R",35,0.893,184,509
"Male","Football","SLHAR","PeakLandF_L",35,0.895,189,523
